file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous7,actionPerformed/1[java.awt.event.ActionEvent],false,244,1,10,0,10,1,6,8,0,0,1,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/MainSplash.java,com.chatroom.ui.MainSplash$Anonymous1,paintComponent/1[java.awt.Graphics],false,44,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous6,adjustmentValueChanged/1[java.awt.event.AdjustmentEvent],false,214,1,1,0,1,6,6,17,0,2,1,6,0,0,0,1,0,2,0,2,8,2,1,0,0,0,24,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/MainSplash.java,com.chatroom.ui.MainSplash$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,59,2,10,0,10,2,4,10,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous1,paintComponent/1[java.awt.Graphics],false,61,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous5,mouseClicked/1[java.awt.event.MouseEvent],false,195,3,7,0,7,2,9,12,0,0,1,9,0,0,0,0,1,0,1,0,1,0,1,0,0,0,13,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/MainSplash.java,com.chatroom.ui.MainSplash$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,73,2,10,0,10,2,4,10,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous2,focusLost/1[java.awt.event.FocusEvent],false,94,0,0,0,0,2,5,7,0,0,1,5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,7,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous2,focusGained/1[java.awt.event.FocusEvent],false,104,0,0,0,0,2,5,5,0,0,1,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,9,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/others/Message.java,com.chatroom.others.Message,print/1[T],false,4,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
