index,Fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
43,k9mail-library/src/main/java/com/fsck/k9/mail/transport/smtp/SmtpTransport.java,SmtpTransport,819,19,26,0,1,FALSE,FALSE,2,FALSE,FALSE,54,28,50,44,FALSE,FALSE,FALSE,TRUE,FALSE,public,3,22,1,FALSE,Service Provider
44,k9mail-library/src/main/java/com/fsck/k9/mail/transport/smtp/StatusCodeClass.java,StatusCodeClass,24,4,1,0,0,FALSE,FALSE,3,FALSE,FALSE,1,1,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,default,0,0,0,FALSE,Information Holder
45,k9mail-library/src/main/java/com/fsck/k9/mail/transport/smtp/StatusCodeDetail.java,StatusCodeDetail,78,51,1,0,0,FALSE,FALSE,3,FALSE,FALSE,1,2,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,default,1,0,0,FALSE,Information Holder
46,k9mail-library/src/main/java/com/fsck/k9/mail/transport/smtp/StatusCodeSubject.java,StatusCodeSubject,29,9,1,0,0,FALSE,FALSE,3,FALSE,FALSE,1,1,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,default,0,0,0,FALSE,Information Holder
47,k9mail-library/src/main/java/com/fsck/k9/mail/store/RemoteStore.java,RemoteStore,137,5,4,0,1,FALSE,FALSE,2,FALSE,FALSE,8,5,15,3,FALSE,FALSE,FALSE,TRUE,FALSE,public,4,0,0,TRUE,Structurer
48,k9mail-library/src/main/java/com/fsck/k9/mail/store/StoreConfig.java,StoreConfig,34,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Information Holder
49,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/ConnectionInfo.java,ConnectionInfo,11,4,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Information Holder
50,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/DataSet.java,DataSet,202,3,9,0,7,FALSE,FALSE,2,FALSE,FALSE,8,2,10,14,FALSE,FALSE,FALSE,TRUE,FALSE,default,9,0,0,FALSE,Structurer
51,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/HttpGeneric.java,HttpGeneric,82,1,2,1,1,FALSE,FALSE,2,FALSE,FALSE,4,1,7,2,FALSE,FALSE,FALSE,TRUE,FALSE,public,2,0,0,FALSE,Information Holder
52,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/ParsedMessageEnvelope.java,ParsedMessageEnvelope,69,5,7,2,4,FALSE,FALSE,3,FALSE,FALSE,2,4,5,0,FALSE,FALSE,FALSE,TRUE,FALSE,default,7,0,0,FALSE,Structurer
53,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavConstants.java,WebDavConstants,24,11,0,0,0,FALSE,FALSE,3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Information Holder
54,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavFolder.java,WebDavFolder,712,6,37,3,12,FALSE,FALSE,3,TRUE,FALSE,41,45,32,72,FALSE,FALSE,FALSE,TRUE,FALSE,default,26,10,1,FALSE,Service Provider
55,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavHandler.java,WebDavHandler,51,2,6,0,1,FALSE,FALSE,3,TRUE,FALSE,1,10,4,4,FALSE,FALSE,FALSE,TRUE,FALSE,default,6,0,0,FALSE,Structurer
56,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavHttpClient.WebDavHttpClientFactory.java,WebDavHttpClientFactory,11,0,1,0,0,FALSE,FALSE,5,FALSE,FALSE,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,public,1,0,0,FALSE,Service Provider
57,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavHttpClient.java,WebDavHttpClient,63,0,3,0,1,FALSE,FALSE,4,FALSE,FALSE,4,4,11,3,FALSE,FALSE,FALSE,TRUE,FALSE,public,3,0,0,FALSE,Service Provider
58,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavMessage.java,WebDavMessage,110,1,7,5,1,FALSE,FALSE,3,FALSE,FALSE,5,8,10,4,FALSE,FALSE,FALSE,TRUE,FALSE,default,7,0,0,FALSE,Service Provider
59,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavSocketFactory.java,WebDavSocketFactory,70,2,4,0,0,FALSE,FALSE,4,FALSE,FALSE,0,11,14,3,FALSE,FALSE,FALSE,TRUE,FALSE,public,4,0,0,FALSE,Service Provider
60,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavStore.java,WebDavStore,998,19,39,0,22,FALSE,FALSE,3,FALSE,FALSE,66,34,47,58,FALSE,FALSE,FALSE,TRUE,FALSE,public,14,12,1,FALSE,Information Holder
61,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavStoreSettings.java,WebDavStoreSettings,54,8,2,0,1,FALSE,FALSE,4,FALSE,FALSE,0,1,5,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,2,0,0,FALSE,Information Holder
62,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavStoreUriCreator.java,WebDavStoreUriCreator,60,0,1,0,0,FALSE,FALSE,5,TRUE,FALSE,2,1,6,2,FALSE,FALSE,FALSE,TRUE,FALSE,public,1,0,0,FALSE,Service Provider
63,k9mail-library/src/main/java/com/fsck/k9/mail/store/webdav/WebDavStoreUriDecoder.java,WebDavStoreUriDecoder,110,0,1,0,0,FALSE,FALSE,5,TRUE,FALSE,10,1,4,8,FALSE,FALSE,FALSE,TRUE,FALSE,public,1,0,0,FALSE,Service Provider
64,k9mail-library/src/main/java/com/fsck/k9/mail/store/pop3/Pop3Store.Pop3Capabilities.java,Pop3Capabilities,25,6,1,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,3,0,TRUE,FALSE,TRUE,TRUE,FALSE,default,1,0,0,FALSE,Service Provider
65,k9mail-library/src/main/java/com/fsck/k9/mail/store/pop3/Pop3Store.Pop3ErrorResponse.java,Pop3ErrorResponse,13,1,0,0,0,FALSE,FALSE,3,FALSE,FALSE,0,0,3,0,TRUE,FALSE,TRUE,TRUE,FALSE,default,0,0,0,FALSE,Information Holder
66,k9mail-library/src/main/java/com/fsck/k9/mail/store/pop3/Pop3Store.Pop3Folder.java,Pop3Folder,921,8,40,2,9,FALSE,FALSE,2,TRUE,FALSE,78,38,24,65,FALSE,FALSE,TRUE,TRUE,FALSE,default,24,16,0,FALSE,Controller
67,k9mail-library/src/main/java/com/fsck/k9/mail/store/pop3/Pop3Store.Pop3Message.java,Pop3Message,38,0,3,2,0,FALSE,FALSE,2,FALSE,FALSE,0,4,5,0,TRUE,FALSE,TRUE,TRUE,FALSE,default,3,0,0,FALSE,Service Provider
68,k9mail-library/src/main/java/com/fsck/k9/mail/store/pop3/Pop3Store.Pop3ResponseInputStream.java,Pop3ResponseInputStream,35,3,1,0,0,FALSE,FALSE,4,FALSE,FALSE,3,0,3,3,TRUE,FALSE,TRUE,TRUE,FALSE,default,1,0,0,FALSE,Service Provider
69,k9mail-library/src/main/java/com/fsck/k9/mail/store/pop3/Pop3Store.java,Pop3Store,276,29,6,0,2,FALSE,FALSE,2,FALSE,FALSE,10,4,13,14,FALSE,FALSE,FALSE,TRUE,FALSE,public,6,0,0,FALSE,Service Provider
70,k9mail-library/src/main/java/com/fsck/k9/mail/store/imap/AlertResponse.java,AlertResponse,24,1,1,0,1,FALSE,FALSE,2,FALSE,FALSE,2,1,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,default,1,0,0,FALSE,Service Provider
