index,Fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
855,\src\com\eteks\sweethome3d\j3d\OBJLoader.Line.java,Line,41,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,0,FALSE,Information Holder
856,\src\com\eteks\sweethome3d\j3d\OBJMaterial.java,OBJMaterial,112,3,10,3,3,FALSE,FALSE,4,FALSE,FALSE,3,4,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,10,0,0,FALSE,Information Holder
857,\src\com\eteks\sweethome3d\j3d\OBJWriter.ComparableAppearance.java,ComparableAppearance,197,1,3,0,1,FALSE,FALSE,2,FALSE,FALSE,19,1,6,37,TRUE,FALSE,TRUE,TRUE,FALSE,private,3,0,0,FALSE,Service Provider
858,\src\com\eteks\sweethome3d\j3d\OBJWriter.java,OBJWriter,1416,12,27,0,0,FALSE,FALSE,4,TRUE,FALSE,111,113,72,134,TRUE,FALSE,FALSE,TRUE,FALSE,public,9,18,0,FALSE,Service Provider
859,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.BufferedImageDisplay.java,BufferedImageDisplay,99,4,6,0,0,FALSE,FALSE,3,FALSE,FALSE,4,25,5,7,TRUE,FALSE,TRUE,TRUE,FALSE,private,5,1,0,FALSE,Service Provider
860,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.java,PhotoRenderer,1407,13,22,0,4,FALSE,FALSE,2,TRUE,FALSE,102,83,88,177,TRUE,FALSE,FALSE,TRUE,FALSE,public,4,18,0,FALSE,Service Provider
861,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.PhotoObject3DFactory.java,PhotoObject3DFactory,39,0,1,0,0,FALSE,FALSE,4,FALSE,FALSE,1,3,4,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,0,FALSE,Service Provider
862,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.Quality.java,Quality,26,2,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
863,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.SphereLightWithNoRepresentation.java,SphereLightWithNoRepresentation,32,0,1,0,0,FALSE,FALSE,5,FALSE,FALSE,0,0,2,0,TRUE,FALSE,TRUE,TRUE,FALSE,public,1,0,0,FALSE,Service Provider
864,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.TransparentTextureKey.java,TransparentTextureKey,43,2,2,0,0,FALSE,FALSE,3,FALSE,FALSE,0,1,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Information Holder
865,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.Triangle.java,Triangle,70,5,2,0,0,FALSE,FALSE,1,FALSE,FALSE,2,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Information Holder
866,\src\com\eteks\sweethome3d\j3d\Room3D.java,Room3D,693,3,14,0,3,FALSE,FALSE,2,FALSE,FALSE,40,36,27,108,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,13,0,FALSE,Service Provider
867,\src\com\eteks\sweethome3d\j3d\TextureManager.ComparableTexture.java,ComparableTexture,117,4,6,0,3,FALSE,FALSE,2,FALSE,FALSE,8,2,6,14,TRUE,FALSE,TRUE,TRUE,FALSE,private,3,3,0,FALSE,Information Holder
868,\src\com\eteks\sweethome3d\j3d\TextureManager.ComparableTextureAngleTuple.java,ComparableTextureAngleTuple,39,2,2,0,2,FALSE,FALSE,4,FALSE,FALSE,0,0,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Information Holder
869,\src\com\eteks\sweethome3d\j3d\TextureManager.java,TextureManager,390,7,14,1,4,FALSE,FALSE,2,TRUE,FALSE,22,21,26,47,TRUE,FALSE,FALSE,TRUE,FALSE,public,10,4,0,FALSE,Service Provider
870,\src\com\eteks\sweethome3d\j3d\TextureManager.RotatedContentKey.java,RotatedContentKey,49,2,2,0,0,FALSE,FALSE,3,FALSE,FALSE,1,1,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Service Provider
871,\src\com\eteks\sweethome3d\j3d\TextureManager.TextureObserver.java,TextureObserver,28,0,0,0,0,FALSE,FALSE,2,TRUE,FALSE,0,0,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
872,\src\com\eteks\sweethome3d\j3d\Wall3D.DoorOrWindowArea.java,DoorOrWindowArea,40,2,2,0,2,FALSE,FALSE,4,FALSE,FALSE,0,0,3,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Information Holder
873,\src\com\eteks\sweethome3d\j3d\Wall3D.java,Wall3D,1301,7,23,0,10,FALSE,FALSE,2,FALSE,FALSE,112,68,41,190,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,22,0,FALSE,Service Provider
874,\src\com\eteks\sweethome3d\j3d\Wall3D.ModelRotationTuple.java,ModelRotationTuple,59,2,2,0,0,FALSE,FALSE,3,FALSE,FALSE,3,1,2,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Information Holder
875,\src\com\eteks\sweethome3d\MacOSXConfiguration.java,MacOSXConfiguration,760,1,16,1,2,FALSE,FALSE,5,FALSE,FALSE,37,33,61,102,TRUE,FALSE,FALSE,TRUE,FALSE,default,4,11,1,FALSE,Interfacer
876,\src\com\eteks\sweethome3d\model\AspectRatio.java,AspectRatio,43,8,1,0,1,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,1,0,0,FALSE,Information Holder
877,\src\com\eteks\sweethome3d\model\BackgroundImage.java,BackgroundImage,148,10,11,0,10,FALSE,FALSE,2,FALSE,FALSE,0,5,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,11,0,0,FALSE,Information Holder
878,\src\com\eteks\sweethome3d\model\Baseboard.java,Baseboard,132,6,8,0,5,FALSE,FALSE,1,FALSE,FALSE,5,6,6,5,TRUE,FALSE,FALSE,TRUE,FALSE,public,7,1,0,FALSE,Information Holder
879,\src\com\eteks\sweethome3d\model\Camera.java,Camera,319,12,26,10,9,FALSE,FALSE,1,FALSE,FALSE,10,16,7,22,TRUE,FALSE,FALSE,TRUE,FALSE,public,23,3,0,FALSE,Information Holder
880,\src\com\eteks\sweethome3d\model\Camera.Lens.java,Lens,25,4,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
881,\src\com\eteks\sweethome3d\model\Camera.Property.java,Property,25,9,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
882,\src\com\eteks\sweethome3d\model\CatalogDoorOrWindow.java,CatalogDoorOrWindow,552,6,8,0,4,FALSE,FALSE,4,FALSE,FALSE,1,0,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,public,8,0,0,FALSE,Information Holder
