,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
24,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitManagerEvent.java,UnitManagerEvent,51,3,2,0,2,FALSE,FALSE,3,FALSE,FALSE,0,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
25,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitManagerEventType.java,UnitManagerEventType,19,2,0,0,0,FALSE,FALSE,4,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
26,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitManagerListener.java,UnitManagerListener,18,0,0,0,0,FALSE,FALSE,3,TRUE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
27,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitType.java,UnitType,29,7,1,0,1,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
28,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/ATime.java,ATime,280,10,18,0,13,FALSE,FALSE,2,FALSE,FALSE,8,5,0,20,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
29,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/Astro.java,Astro,10,3,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
30,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/Comet.java,Comet,199,8,14,0,11,FALSE,FALSE,1,FALSE,FALSE,10,4,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
31,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/CometOrbit.java,CometOrbit,124,4,5,0,5,FALSE,FALSE,2,FALSE,FALSE,2,4,1,18,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
32,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/Matrix.java,Matrix,306,5,8,0,0,FALSE,FALSE,1,FALSE,FALSE,8,11,1,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
33,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/Planet.java,Planet,33,12,1,0,1,FALSE,FALSE,1,FALSE,FALSE,1,2,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
34,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/PlanetElm.java,PlanetElm,528,33,7,0,4,FALSE,FALSE,2,FALSE,FALSE,10,10,1,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
35,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/PlanetExp.java,PlanetExp,684,41,5,0,5,FALSE,FALSE,2,FALSE,FALSE,4,9,1,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
36,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/PlanetOrbit.java,PlanetOrbit,69,4,4,0,3,FALSE,FALSE,2,FALSE,FALSE,0,2,2,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
37,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/TimeSpan.java,TimeSpan,23,3,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
